"",".variable","DMU","Year","Age","Sex","a","k","s","i",".value",".lower",".upper",".width",".point",".interval"
"188","N","E2",2007,"F","F",1,3,1,2,34466.3218081829,24761.722318455,45957.5184479956,0.9,"median","qi"
"189","NS","E2",2007,"F","F",1,3,1,2,0.859449901057782,0.528250486638956,0.937455212568425,0.9,"median","qi"
"190","Report","E2",2007,"F","F",1,3,1,2,0.499920109637896,0.339614355385112,0.909337540791987,0.9,"median","qi"
"191","Hest","E3",2007,"F","F",1,3,1,3,3235.93082462225,1700.38811037216,4325.37080806349,0.9,"median","qi"
"192","HS","E3",2007,"F","F",1,3,1,3,0.924842227205534,0.900112271651565,0.962241296969176,0.9,"median","qi"
"193","N","E3",2007,"F","F",1,3,1,3,43843.1633988525,37521.2746098633,49727.6461813251,0.9,"median","qi"
"194","NS","E3",2007,"F","F",1,3,1,3,0.769133549122707,0.641211389241423,0.826811933839191,0.9,"median","qi"
"195","Report","E3",2007,"F","F",1,3,1,3,0.367287723613888,0.259187149580997,0.86000730099091,0.9,"median","qi"
"196","Hest","M1",2007,"F","F",1,3,1,4,4734.86670118568,4156.86434115269,5563.20609615596,0.9,"median","qi"
"197","HS","M1",2007,"F","F",1,3,1,4,0.950978020878554,0.899441326503398,0.965825735716831,0.9,"median","qi"
"198","N","M1",2007,"F","F",1,3,1,4,99880.0858365443,50213.7452080524,124877.458399474,0.9,"median","qi"
"199","NS","M1",2007,"F","F",1,3,1,4,0.57314630184803,0.497896670905323,0.638644117019093,0.9,"median","qi"
"200","Report","M1",2007,"F","F",1,3,1,4,0.811087237474552,0.709250078749292,0.908132314420139,0.9,"median","qi"
"201","Hest","M2",2007,"F","F",1,3,1,5,3215.09039547958,2363.77220838842,5094.75508445361,0.9,"median","qi"
"202","HS","M2",2007,"F","F",1,3,1,5,0.967232202236205,0.934674621307575,0.976125307031528,0.9,"median","qi"
"203","N","M2",2007,"F","F",1,3,1,5,96367.423675413,51170.6150902293,146496.085214858,0.9,"median","qi"
"204","NS","M2",2007,"F","F",1,3,1,5,0.641980299602089,0.40588202470075,0.804952600796378,0.9,"median","qi"
"205","Report","M2",2007,"F","F",1,3,1,5,0.707444349654392,0.49046479191252,0.922677756634963,0.9,"median","qi"
"206","Hest","M3",2007,"F","F",1,3,1,6,3003.13696905151,2350.44298366614,7178.45847644222,0.9,"median","qi"
"207","HS","M3",2007,"F","F",1,3,1,6,0.934540676759396,0.779624457904624,0.965074925981832,0.9,"median","qi"
"208","N","M3",2007,"F","F",1,3,1,6,45017.1812877696,28937.4636002312,73459.8594255533,0.9,"median","qi"
"209","NS","M3",2007,"F","F",1,3,1,6,0.852076555614993,0.789759764160011,0.937261634222282,0.9,"median","qi"
"210","Report","M3",2007,"F","F",1,3,1,6,0.769631795392517,0.308149493630315,0.904694891658227,0.9,"median","qi"
"211","Hest","M4",2007,"F","F",1,3,1,7,3188.09110316836,2704.09525469362,4791.14939106148,0.9,"median","qi"
"212","HS","M4",2007,"F","F",1,3,1,7,0.949580668445143,0.918291789256301,0.965901029232346,0.9,"median","qi"
"213","N","M4",2007,"F","F",1,3,1,7,79822.0627603872,38373.7895552991,90371.6385294565,0.9,"median","qi"
"214","NS","M4",2007,"F","F",1,3,1,7,0.769929004320829,0.660022230079115,0.899487617142296,0.9,"median","qi"
"215","Report","M4",2007,"F","F",1,3,1,7,0.728726204030476,0.440492255231567,0.856641373082919,0.9,"median","qi"
"216","Hest","W1",2007,"F","F",1,3,1,8,5231.9354749769,2471.43254396734,10343.004773351,0.9,"median","qi"
"217","HS","W1",2007,"F","F",1,3,1,8,0.898900003740933,0.849070645636798,0.952902213763029,0.9,"median","qi"
"218","N","W1",2007,"F","F",1,3,1,8,50019.9231069894,37440.4475378446,96168.382372743,0.9,"median","qi"
"219","NS","W1",2007,"F","F",1,3,1,8,0.838893780361049,0.648498551104407,0.917430841730821,0.9,"median","qi"
"220","Report","W1",2007,"F","F",1,3,1,8,0.43300601588147,0.212934583553932,0.984572507275782,0.9,"median","qi"
"221","Hest","W2",2007,"F","F",1,3,1,9,2477.50972039143,1948.99412045956,5621.07155457022,0.9,"median","qi"
"222","HS","W2",2007,"F","F",1,3,1,9,0.949914567703106,0.937541193324531,0.969618854248151,0.9,"median","qi"
"223","N","W2",2007,"F","F",1,3,1,9,45207.8812726089,36522.4464517552,148741.740457784,0.9,"median","qi"
"224","NS","W2",2007,"F","F",1,3,1,9,0.834045584317542,0.737642290686492,0.965777476889963,0.9,"median","qi"
"225","Report","W2",2007,"F","F",1,3,1,9,0.816606870008727,0.344531900028107,0.929162403246924,0.9,"median","qi"
"226","Hest","E1",2007,"F","M",1,3,2,1,1430.6760782806,1213.57619476564,1647.97436437731,0.9,"median","qi"
"227","HS","E1",2007,"F","M",1,3,2,1,0.960876360034564,0.949222540316612,0.969029245617428,0.9,"median","qi"
"228","N","E1",2007,"F","M",1,3,2,1,34336.3764126798,29510.330585208,45608.933021706,0.9,"median","qi"
"229","NS","E1",2007,"F","M",1,3,2,1,0.804777891548005,0.586662058516995,0.944967311559217,0.9,"median","qi"
"230","Report","E1",2007,"F","M",1,3,2,1,0.827767632900661,0.729252095752924,0.919178658143573,0.9,"median","qi"
"231","Hest","E2",2007,"F","M",1,3,2,2,1054.36110203805,576.771139379938,1398.90948658174,0.9,"median","qi"
